Manufacturer,Category,Leather interior,Fuel type,Engine volume,Mileage(in km),Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
FORD,Sedan,1,Hybrid,2,16,4,Automatic,Front,4-doors,Left wheel,Black,0,69822
HYUNDAI,Sedan,1,Diesel,1.6,25,4,Automatic,Front,4-doors,Left wheel,White,4,2341629
HYUNDAI,Sedan,1,CNG,2,23,4,Automatic,Front,4-doors,Left wheel,Black,4,685827
TOYOTA,Sedan,2,Hybrid,1.5,25,4,Automatic,Rear,4-doors,Right-hand drive,Sky blue,0,4050
HYUNDAI,Sedan,1,CNG,2,21,4,Automatic,Front,4-doors,Left wheel,White,4,1168506
VOLKSWAGEN,Minivan,2,Petrol,1.4,30,4,Automatic,Front,4-doors,Right-hand drive,Silver,6,729000
MERCEDES-BENZ,Sedan,1,Diesel,3.5,12,6,Automatic,4x4,4-doors,Left wheel,Black,12,2489454
TOYOTA,Sedan,1,Petrol,2.5,18,4,Automatic,Front,4-doors,Left wheel,Black,12,1828980
CHEVROLET,Jeep,1,Hybrid,1.4,10,4,Automatic,Front,4-doors,Left wheel,Black,0,69822
HONDA,Hatchback,1,Hybrid,1.3,15,4,Automatic,Front,4-doors,Left wheel,Blue,4,604584
FORD,Sedan,1,Petrol,2.5,18,4,Automatic,Front,4-doors,Left wheel,Black,12,107973
HYUNDAI,Jeep,1,Diesel,1.6,19,4,Automatic,Front,4-doors,Left wheel,White,4,4849065
TOYOTA,Jeep,1,Petrol,2.7,21,4,Automatic,Rear,4-doors,Left wheel,White,12,3988197
HYUNDAI,Universal,1,Diesel,2.5,16,4,Automatic,Front,4-doors,Left wheel,Yellow,4,5526063
MERCEDES-BENZ,Sedan,1,Petrol,2,25,4,Automatic,Rear,4-doors,Left wheel,Black,12,31752
NISSAN,Sedan,1,CNG,1.8,23,4,Variator,Front,4-doors,Left wheel,Silver,2,622323
FORD,Sedan,1,Petrol,1.6,25,4,Automatic,Front,4-doors,Left wheel,Black,8,1803546
MERCEDES-BENZ,Sedan,1,Diesel,3,21,6,Automatic,Rear,4-doors,Left wheel,Black,12,196830
FORD,Sedan,1,Hybrid,2,30,4,Automatic,Front,4-doors,Left wheel,Silver,0,22842
NISSAN,Jeep,1,Petrol,1.6,12,4,Automatic,4x4,4-doors,Left wheel,Black,0,31752
MERCEDES-BENZ,Sedan,1,Petrol,2,18,4,Automatic,Rear,4-doors,Left wheel,Black,12,2718036
SSANGYONG,Jeep,1,Diesel,1.6,10,4,Automatic,Front,4-doors,Left wheel,White,4,3172041
FORD,Microbus,2,Diesel,2.2,15,4,Manual,Front,4-doors,Left wheel,White,2,1320948
TOYOTA,Sedan,1,Hybrid,2.4,18,4,Tiptronic,Front,4-doors,Left wheel,Sky blue,8,1435239
LEXUS,Jeep,1,Petrol,4.6,19,8,Automatic,4x4,4-doors,Left wheel,White,0,3505518
HYUNDAI,Jeep,1,Petrol,3.5,21,6,Automatic,4x4,4-doors,Left wheel,Red,12,38070
CHEVROLET,Sedan,2,Petrol,1.4,16,4,Tiptronic,Front,5 or more,Left wheel,Black,12,1651185
TOYOTA,Jeep,1,Petrol,4.6,25,8,Automatic,4x4,4-doors,Left wheel,White,12,76221
HYUNDAI,Jeep,1,Diesel,2,23,4,Automatic,Front,4-doors,Left wheel,White,4,4038498
NISSAN,Minivan,1,Diesel,3.2,25,4,Automatic,4x4,4-doors,Right-hand drive,White,4,711261
MERCEDES-BENZ,Sedan,1,Petrol,3.5,21,6,Automatic,Rear,4-doors,Left wheel,Black,12,17820
HYUNDAI,Sedan,1,CNG,2,30,4,Automatic,Front,4-doors,Left wheel,Orange,4,787482
MERCEDES-BENZ,Sedan,1,Petrol,5,12,8,Automatic,Rear,4-doors,Left wheel,Grey,12,1727406
HYUNDAI,Jeep,1,Diesel,2,18,4,Automatic,Front,4-doors,Left wheel,White,4,4137075
HYUNDAI,Coupe,1,Petrol,2,10,4,Automatic,Front,4-doors,Left wheel,Grey,4,1234521
FORD,Sedan,1,Hybrid,2,15,4,Automatic,Front,4-doors,Left wheel,Black,0,209547
HYUNDAI,Minivan,1,Diesel,2.5,18,4,Automatic,Front,4-doors,Left wheel,Silver,4,1257444
MERCEDES-BENZ,Sedan,1,Petrol,1.8,19,4,Tiptronic,Rear,4-doors,Left wheel,Beige,8,2260791
TOYOTA,Sedan,1,Hybrid,2.5,21,4,Automatic,Front,4-doors,Left wheel,Blue,12,393741
MERCEDES-BENZ,Sedan,1,Petrol,3.5,16,4,Automatic,Rear,4-doors,Left wheel,Black,0,2413233
HYUNDAI,Sedan,1,Petrol,1.6,25,4,Automatic,Front,4-doors,Left wheel,Grey,4,1474848
HYUNDAI,Sedan,1,Hybrid,2,23,4,Automatic,Front,4-doors,Left wheel,Silver,12,44469
NISSAN,Hatchback,2,Petrol,1.5,25,4,Automatic,Front,4-doors,Right-hand drive,Red,4,2430
TOYOTA,Jeep,2,Petrol,2.5,21,4,Tiptronic,Front,4-doors,Left wheel,White,12,2794257
OPEL,Goods wagon,2,Petrol,1.8,30,4,Manual,Front,4-doors,Left wheel,Silver,0,508032
CHEVROLET,Jeep,1,Diesel,2,12,4,Automatic,Front,4-doors,Left wheel,Silver,4,398844
OPEL,Hatchback,2,Diesel,2,18,4,Manual,Front,4-doors,Left wheel,Red,2,381024
HYUNDAI,Universal,1,Diesel,2.5,10,4,Automatic,Front,4-doors,Left wheel,Silver,4,3529656
MERCEDES-BENZ,Sedan,1,CNG,2,15,4,Manual,Rear,4-doors,Left wheel,Black,4,635040
TOYOTA,Jeep,2,Petrol,2,18,4,Automatic,Front,4-doors,Left wheel,Grey,8,2286225
OPEL,Sedan,2,Petrol,1.1,19,4,Manual,Front,4-doors,Left wheel,White,2,56700
MAZDA,Hatchback,2,Petrol,1.5,21,4,Manual,Front,4-doors,Left wheel,Silver,2,190512
CHEVROLET,Hatchback,1,Petrol,1.4,16,4,Automatic,Front,4-doors,Left wheel,Grey,0,1524177
FORD,Sedan,1,Hybrid,2,25,4,Automatic,Front,4-doors,Left wheel,Red,12,393741
LEXUS,Jeep,1,Hybrid,3.5,23,6,Automatic,4x4,4-doors,Left wheel,Silver,12,1066932
MERCEDES-BENZ,Sedan,1,Petrol,3.5,25,4,Tiptronic,4x4,4-doors,Left wheel,Black,12,3022920
FORD,Jeep,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,Blue,12,57186
TOYOTA,Sedan,1,Hybrid,2.5,30,4,Automatic,Front,4-doors,Left wheel,Grey,10,3175281
HYUNDAI,Sedan,1,CNG,1.6,12,4,Automatic,Front,4-doors,Left wheel,White,4,2950506
HONDA,Hatchback,2,Petrol,1.8,18,4,Manual,Front,4-doors,Right-hand drive,Grey,4,685827
MERCEDES-BENZ,Coupe,1,Petrol,3.2,10,6,Tiptronic,Rear,2-doors,Left wheel,Silver,4,635040
HONDA,Jeep,1,Petrol,2.4,15,4,Automatic,Front,4-doors,Left wheel,White,12,1028781
SUBARU,Jeep,1,Petrol,2.5,18,4,Automatic,4x4,4-doors,Left wheel,Blue,0,660474
TOYOTA,Sedan,1,Hybrid,2.5,19,4,Tiptronic,Front,4-doors,Left wheel,White,12,3759534
MERCEDES-BENZ,Jeep,1,Diesel,2.1,21,4,Automatic,4x4,4-doors,Left wheel,White,12,3657960
BMW,Cabriolet,1,Petrol,3,16,6,Tiptronic,4x4,2-doors,Left wheel,Black,12,8100
AUDI,Sedan,1,Petrol,3,25,6,Automatic,4x4,4-doors,Left wheel,Black,12,8128755
MITSUBISHI,Hatchback,1,Petrol,2,23,4,Automatic,Front,4-doors,Left wheel,Silver,12,95256
HYUNDAI,Coupe,2,Petrol,1.8,25,6,Manual,Front,2-doors,Left wheel,Beige,0,990711
TOYOTA,Hatchback,1,Hybrid,1.5,21,4,Variator,Front,4-doors,Left wheel,Green,12,469962
HYUNDAI,Sedan,1,Petrol,2.4,30,4,Automatic,Front,4-doors,Left wheel,White,12,234981
TOYOTA,Sedan,1,Hybrid,1.8,12,4,Automatic,Front,4-doors,Left wheel,White,12,152442
NISSAN,Sedan,2,Petrol,4,18,12,Automatic,4x4,4-doors,Left wheel,Blue,12,1854414
HONDA,Sedan,2,Hybrid,1.3,10,4,Automatic,Front,4-doors,Right-hand drive,Silver,8,914490
BMW,Sedan,2,CNG,1.8,15,4,Manual,Rear,4-doors,Left wheel,Green,2,533466
TOYOTA,Sedan,1,Hybrid,2.4,18,4,Variator,Front,4-doors,Left wheel,Grey,8,1168506
MITSUBISHI,Jeep,1,Petrol,2.4,19,4,Variator,Front,4-doors,Left wheel,Silver,12,2921265
TOYOTA,Sedan,1,Petrol,2.5,21,4,Tiptronic,Front,4-doors,Left wheel,Black,12,2210004
SUBARU,Jeep,2,Petrol,2.5,16,4,Variator,4x4,4-doors,Left wheel,White,7,1752759
HYUNDAI,Hatchback,1,Petrol,1.6,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,635040
MERCEDES-BENZ,Sedan,2,CNG,2,23,4,Manual,Rear,4-doors,Left wheel,Black,4,635040
FORD,Jeep,1,Hybrid,0.4,25,4,Automatic,Front,4-doors,Left wheel,Grey,0,22842
MERCEDES-BENZ,Jeep,1,Petrol,3,21,6,Automatic,4x4,4-doors,Left wheel,White,0,133326
HYUNDAI,Jeep,1,Diesel,2,30,4,Automatic,Front,4-doors,Left wheel,Silver,4,1960038
HONDA,Hatchback,1,Petrol,1.5,12,4,Automatic,Front,4-doors,Left wheel,Grey,4,2054565
CHEVROLET,Sedan,1,Petrol,2.5,18,4,Automatic,Front,4-doors,Left wheel,Blue,12,139725
ACURA,Sedan,1,Petrol,3.5,10,6,Automatic,Front,4-doors,Left wheel,Silver,12,25434
TOYOTA,Sedan,2,Hybrid,1.8,15,4,Automatic,Front,4-doors,Left wheel,White,8,1397169
MERCEDES-BENZ,Sedan,1,Petrol,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Black,12,38070
HYUNDAI,Sedan,1,Petrol,2,19,4,Tiptronic,Front,4-doors,Left wheel,White,12,2540241
HYUNDAI,Sedan,1,Diesel,1.6,21,4,Automatic,Front,4-doors,Left wheel,Silver,4,381024
CHEVROLET,Sedan,1,Petrol,1.8,16,4,Automatic,Front,4-doors,Left wheel,Grey,4,1030320
HYUNDAI,Jeep,1,Diesel,2,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,2136132
BMW,Jeep,1,CNG,3,23,6,Tiptronic,4x4,4-doors,Right-hand drive,Black,10,1092285
HYUNDAI,Sedan,1,Petrol,1.6,25,4,Automatic,Front,4-doors,Left wheel,White,4,2072871
MERCEDES-BENZ,Sedan,1,Petrol,3,21,6,Automatic,4x4,4-doors,Left wheel,White,12,520749
LEXUS,Jeep,1,Petrol,3.5,30,6,Automatic,4x4,4-doors,Left wheel,Grey,12,20331
LEXUS,Jeep,1,Petrol,4.6,12,8,Automatic,4x4,4-doors,Left wheel,Black,0,3226149
MERCEDES-BENZ,Sedan,1,Diesel,5.5,18,8,Automatic,4x4,4-doors,Left wheel,Black,12,1066932
TOYOTA,Jeep,1,Petrol,2,10,4,Automatic,Front,4-doors,Left wheel,Blue,12,50787
DAEWOO,Sedan,1,Petrol,1.6,15,4,Automatic,Front,4-doors,Left wheel,Black,4,655857
BMW,Jeep,1,Diesel,3,18,6,Automatic,4x4,4-doors,Left wheel,Black,12,1003428
HYUNDAI,Sedan,2,Hybrid,2,19,4,Automatic,Front,4-doors,Left wheel,Silver,9,1498743
HONDA,Sedan,2,Hybrid,1.3,21,4,Variator,Front,4-doors,Left wheel,Black,12,990711
HONDA,Hatchback,2,Petrol,1.3,16,4,Variator,Front,4-doors,Right-hand drive,Black,4,3240
HYUNDAI,Universal,1,Diesel,2.5,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,1381374
HONDA,Universal,2,Petrol,2,23,4,Automatic,Front,4-doors,Right-hand drive,Black,6,429300
HYUNDAI,Sedan,1,CNG,2,25,4,Automatic,Front,4-doors,Left wheel,Orange,4,774765
CHEVROLET,Sedan,1,Diesel,2,21,4,Automatic,Front,4-doors,Left wheel,Black,4,1968462
TOYOTA,Sedan,1,Petrol,2.4,30,4,Automatic,Front,4-doors,Left wheel,Silver,12,1524177
NISSAN,Sedan,1,Petrol,2.5,12,4,Automatic,Front,4-doors,Left wheel,Red,12,158760
HYUNDAI,Sedan,2,Petrol,2.4,18,4,Tiptronic,Front,4-doors,Left wheel,Silver,10,1397169
HYUNDAI,Sedan,1,CNG,2,10,4,Automatic,Front,4-doors,Left wheel,Silver,4,1257930
HYUNDAI,Sedan,1,CNG,2,15,4,Automatic,Front,4-doors,Left wheel,Silver,4,914490
TOYOTA,Hatchback,2,Hybrid,1.8,18,4,Automatic,Front,4-doors,Left wheel,Sky blue,12,1955988
HYUNDAI,Sedan,1,CNG,2,19,4,Automatic,Front,4-doors,Left wheel,Silver,4,812916
HYUNDAI,Sedan,2,Petrol,1.8,21,4,Tiptronic,Front,4-doors,Left wheel,Black,12,1524177
LEXUS,Hatchback,1,Hybrid,1.8,16,4,Automatic,Front,4-doors,Left wheel,Red,0,838269
LEXUS,Jeep,1,Petrol,3.5,25,6,Automatic,4x4,4-doors,Left wheel,Black,12,44469
HYUNDAI,Sedan,1,CNG,2,23,4,Automatic,Front,4-doors,Left wheel,Orange,4,749412
HYUNDAI,Jeep,1,Diesel,1.7,25,4,Automatic,Front,4-doors,Left wheel,Black,4,4521663
TOYOTA,Sedan,1,Petrol,2.5,21,6,Tiptronic,Rear,4-doors,Left wheel,Blue,12,2032209
HYUNDAI,Minivan,1,Diesel,2.5,30,4,Automatic,Front,4-doors,Left wheel,Silver,4,1512189
LEXUS,Jeep,1,Hybrid,3.5,12,6,Automatic,4x4,4-doors,Left wheel,Black,12,76221
FORD,Microbus,2,Diesel,2.4,18,4,Manual,Rear,4-doors,Left wheel,White,2,1219293
HONDA,Hatchback,1,Hybrid,1.5,10,4,Automatic,Front,4-doors,Left wheel,Blue,4,863460
HYUNDAI,Jeep,1,Diesel,2,15,4,Automatic,Front,4-doors,Left wheel,Silver,4,2997000
SSANGYONG,Jeep,1,Diesel,2,18,4,Automatic,Front,4-doors,Left wheel,Silver,4,1524906
MERCEDES-BENZ,Sedan,1,Diesel,3.5,19,6,Automatic,4x4,4-doors,Left wheel,Black,12,1181223
MERCEDES-BENZ,Minivan,2,Diesel,2.2,21,4,Manual,Rear,4-doors,Left wheel,Red,4,1701972
MITSUBISHI,Hatchback,2,Petrol,0.7,16,3,Automatic,Front,4-doors,Right-hand drive,Brown,2,457245
SSANGYONG,Jeep,1,Diesel,2,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,1524906
HYUNDAI,Jeep,1,Diesel,2,23,4,Automatic,Front,4-doors,Left wheel,White,4,1834569
HYUNDAI,Minivan,1,Diesel,2.5,25,4,Automatic,Front,4-doors,Left wheel,White,4,1343790
TOYOTA,Sedan,2,Hybrid,2.5,21,4,Automatic,Front,4-doors,Left wheel,Grey,12,2591028
DAEWOO,Sedan,1,Petrol,2,30,4,Automatic,Front,4-doors,Left wheel,Grey,4,698544
TOYOTA,Sedan,2,Hybrid,2.5,12,4,Variator,Front,4-doors,Left wheel,Silver,0,1701972
HONDA,Hatchback,2,Hybrid,1.5,18,4,Automatic,Front,4-doors,Right-hand drive,White,8,863703
MERCEDES-BENZ,Sedan,1,Diesel,3.5,10,6,Automatic,4x4,4-doors,Left wheel,Black,12,17820
VOLKSWAGEN,Hatchback,2,Petrol,2,15,4,Manual,Front,4-doors,Left wheel,Black,8,1092285
MITSUBISHI,Hatchback,2,Petrol,1.3,18,4,Variator,Front,4-doors,Right-hand drive,Sky blue,5,431811
OPEL,Minivan,2,Petrol,1.8,19,4,Manual,Front,4-doors,Left wheel,Silver,6,596970
FORD,Microbus,1,Diesel,2,21,6,Manual,Front,2-doors,Left wheel,Yellow,4,963900
VOLKSWAGEN,Sedan,1,Petrol,1.8,16,4,Tiptronic,Front,4-doors,Left wheel,Black,10,1397169
MITSUBISHI,Jeep,2,Petrol,0.7,25,3,Manual,4x4,2-doors,Right-hand drive,Silver,2,355671
FORD,Hatchback,1,Hybrid,2,23,4,Tiptronic,Front,4-doors,Right-hand drive,Silver,10,1447956
HONDA,Hatchback,2,Hybrid,1.3,25,4,Tiptronic,Front,4-doors,Right-hand drive,White,2,939924
BMW,Sedan,1,Petrol,4.8,21,8,Tiptronic,Rear,4-doors,Left wheel,Black,12,1117719
TOYOTA,Jeep,2,Petrol,2.5,30,4,Tiptronic,4x4,4-doors,Left wheel,Black,12,3302289
LEXUS,Jeep,1,Hybrid,3.5,12,6,Automatic,Front,4-doors,Left wheel,Black,12,647757
MERCEDES-BENZ,Sedan,2,Diesel,2.5,18,2,Manual,Front,4-doors,Left wheel,White,2,635040
VOLKSWAGEN,Sedan,1,Petrol,2.5,10,4,Automatic,Front,4-doors,Left wheel,Blue,12,1143153
HONDA,Hatchback,2,Hybrid,1.3,15,4,Automatic,Front,4-doors,Right-hand drive,Blue,8,965277
HYUNDAI,Sedan,1,Petrol,2,18,4,Automatic,Front,4-doors,Left wheel,Black,4,1034937
TOYOTA,Hatchback,2,Hybrid,1.5,19,4,Automatic,Front,4-doors,Left wheel,Red,12,1524177
TOYOTA,Sedan,1,Hybrid,2.5,21,4,Variator,Front,4-doors,Left wheel,Silver,10,1905201
AUDI,Jeep,1,Petrol,3.2,16,6,Tiptronic,4x4,4-doors,Left wheel,Grey,7,1828980
LEXUS,Jeep,1,Hybrid,3.5,25,6,Automatic,4x4,4-doors,Left wheel,White,12,31752
TOYOTA,Hatchback,2,Hybrid,1.8,23,4,Automatic,Front,4-doors,Left wheel,Silver,12,1016064
CHEVROLET,Sedan,2,Petrol,1.4,25,4,Tiptronic,Front,4-doors,Left wheel,Green,10,787482
HYUNDAI,Sedan,1,Hybrid,2.4,21,4,Automatic,Front,4-doors,Left wheel,Grey,0,279450
TOYOTA,Hatchback,1,Hybrid,1.8,30,4,Automatic,Front,4-doors,Left wheel,Red,12,152442
FORD,Microbus,2,Diesel,2.2,12,4,Manual,Front,4-doors,Left wheel,White,2,1295271
TOYOTA,Sedan,1,Hybrid,2.5,18,4,Automatic,Front,4-doors,Left wheel,Black,12,901773
HYUNDAI,Jeep,1,Petrol,2,10,4,Automatic,Front,4-doors,Left wheel,Grey,12,7614
MERCEDES-BENZ,Sedan,1,Petrol,3.5,15,6,Automatic,Rear,4-doors,Left wheel,Black,12,2768904
CHEVROLET,Sedan,2,Petrol,1.4,18,4,Automatic,Front,4-doors,Left wheel,Brown,8,1714689
CHEVROLET,Jeep,1,Diesel,2,19,4,Automatic,Front,4-doors,Left wheel,Black,4,607095
LEXUS,Hatchback,1,Hybrid,1.8,21,4,Automatic,Front,4-doors,Left wheel,White,12,393741
HYUNDAI,Sedan,1,CNG,2,16,4,Automatic,Front,4-doors,Left wheel,Silver,4,1092285
LEXUS,Jeep,1,Petrol,4.6,25,8,Automatic,4x4,4-doors,Left wheel,White,0,6604659
HYUNDAI,Sedan,1,Petrol,1.6,23,4,Automatic,Front,4-doors,Left wheel,Silver,4,1620405
SUBARU,Goods wagon,2,Petrol,2.5,25,6,Tiptronic,4x4,4-doors,Right-hand drive,Blue,6,243000
TOYOTA,Sedan,2,Hybrid,2.4,21,4,Variator,Front,4-doors,Left wheel,Grey,12,965277
MERCEDES-BENZ,Sedan,1,Petrol,2,30,6,Tiptronic,Rear,4-doors,Left wheel,Black,12,6858675
MERCEDES-BENZ,Sedan,2,CNG,2,12,4,Manual,Rear,4-doors,Left wheel,Black,4,635040
LEXUS,Hatchback,1,Hybrid,1.8,18,4,Automatic,Front,4-doors,Left wheel,White,0,50787
CHEVROLET,Sedan,1,Petrol,1.8,10,4,Automatic,Front,4-doors,Left wheel,Grey,4,1018170
LINCOLN,Jeep,1,CNG,5.4,15,8,Automatic,4x4,4-doors,Left wheel,Grey,6,1397169
BMW,Sedan,2,Diesel,2.4,18,6,Manual,Rear,4-doors,Left wheel,Blue,4,226800
MERCEDES-BENZ,Sedan,2,CNG,1.8,19,4,Manual,Front,4-doors,Left wheel,Black,4,558819
TOYOTA,Hatchback,1,Petrol,1.5,21,4,Automatic,Front,4-doors,Left wheel,Silver,4,1134729
LEXUS,Sedan,1,Petrol,4.6,16,8,Automatic,4x4,4-doors,Left wheel,White,0,31752
MERCEDES-BENZ,Jeep,1,Petrol,2,25,4,Automatic,Front,4-doors,Left wheel,White,0,673191
TOYOTA,Sedan,2,Petrol,1.8,23,4,Automatic,Front,4-doors,Left wheel,Green,16,1905201
FORD,Sedan,1,Petrol,2,25,4,Tiptronic,Front,4-doors,Left wheel,Silver,12,2082996
HYUNDAI,Sedan,1,CNG,1.6,21,4,Automatic,Front,4-doors,Left wheel,Blue,4,1760130
HYUNDAI,Minivan,1,Diesel,2.5,30,4,Automatic,Front,4-doors,Left wheel,Black,4,6553791
HYUNDAI,Coupe,1,Petrol,2,12,4,Automatic,Front,4-doors,Left wheel,Red,4,1568889
SUZUKI,Jeep,2,Petrol,1.3,18,4,Manual,4x4,2-doors,Left wheel,Green,4,1016064
HYUNDAI,Jeep,1,Diesel,2,10,4,Automatic,Front,4-doors,Left wheel,Grey,4,2049219
CHEVROLET,Sedan,1,Diesel,1.6,6,4,Automatic,Front,4-doors,Left wheel,Grey,12,584253
CHEVROLET,Hatchback,1,Petrol,1.6,9,4,Automatic,Front,4-doors,Left wheel,Black,4,558819
BMW,Jeep,1,Petrol,4.4,19,8,Automatic,4x4,4-doors,Left wheel,Red,12,660474
TOYOTA,Sedan,1,Hybrid,1.8,13,4,Tiptronic,Front,4-doors,Left wheel,Silver,12,1524177
HYUNDAI,Jeep,1,Diesel,2,16,4,Automatic,Front,4-doors,Left wheel,Blue,4,4981419
TOYOTA,Sedan,2,Hybrid,1.8,27,6,Automatic,Front,4-doors,Left wheel,White,1,1397169
TOYOTA,Hatchback,2,Hybrid,1.5,22,4,Automatic,Front,4-doors,Right-hand drive,Silver,6,800199
VAZ,Sedan,1,Petrol,1.3,11,4,Manual,Rear,4-doors,Left wheel,Green,6,324000
TOYOTA,Hatchback,2,Hybrid,1.8,21,4,Automatic,Front,4-doors,Left wheel,Grey,6,1397169
HYUNDAI,Sedan,1,Petrol,2,17,4,Automatic,Front,4-doors,Left wheel,Silver,4,4149225
HYUNDAI,Jeep,1,Diesel,2,12,4,Automatic,Front,4-doors,Left wheel,White,4,4033638
HYUNDAI,Sedan,1,Petrol,1.8,6,4,Tiptronic,Front,4-doors,Left wheel,Black,12,1397169
FORD,Jeep,1,Petrol,2,9,4,Tiptronic,4x4,4-doors,Left wheel,Silver,8,2362446
MERCEDES-BENZ,Jeep,1,Petrol,2,19,4,Automatic,Front,4-doors,Left wheel,Red,12,15228
LEXUS,Jeep,1,Petrol,2,13,4,Tiptronic,Front,4-doors,Left wheel,Beige,12,6477651
OPEL,Goods wagon,2,Diesel,1.3,16,16,Manual,Front,4-doors,Left wheel,Black,8,939924
GAZ,Limousine,2,Petrol,2.4,27,6,Manual,Rear,4-doors,Left wheel,Black,0,1270161
RENAULT,Sedan,2,Petrol,2,22,4,Manual,Front,4-doors,Left wheel,Blue,0,202500
KIA,Sedan,1,Hybrid,2.4,11,4,Automatic,Front,4-doors,Left wheel,Black,12,31752
HYUNDAI,Sedan,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,Black,12,50787
HONDA,Hatchback,1,Hybrid,1.3,17,4,Automatic,Front,4-doors,Left wheel,Grey,0,184194
VOLKSWAGEN,Sedan,1,Petrol,1.8,12,4,Automatic,Front,4-doors,Left wheel,Silver,8,1574964
MERCEDES-BENZ,Jeep,1,Petrol,3.5,6,6,Automatic,Rear,4-doors,Left wheel,Black,0,3530952
TOYOTA,Hatchback,2,Hybrid,1.8,9,4,Variator,Front,4-doors,Left wheel,Blue,8,1244727
TOYOTA,Jeep,1,Petrol,3.5,19,6,Automatic,4x4,4-doors,Left wheel,Black,12,393741
HONDA,Universal,2,Hybrid,1.3,13,4,Automatic,Front,4-doors,Right-hand drive,White,4,1143153
CHEVROLET,Jeep,1,Diesel,2,16,4,Automatic,Front,4-doors,Left wheel,Grey,4,1098684
FORD,Hatchback,2,Hybrid,2,27,4,Automatic,Front,4-doors,Left wheel,Silver,10,1447956
MERCEDES-BENZ,Sedan,1,Petrol,2.4,22,6,Tiptronic,Rear,4-doors,Left wheel,Black,12,838269
SUBARU,Sedan,2,Petrol,3,11,6,Tiptronic,4x4,4-doors,Left wheel,Black,8,1215000
MERCEDES-BENZ,Sedan,1,Petrol,3.2,21,6,Tiptronic,Rear,4-doors,Right-hand drive,Silver,8,1016064
BMW,Sedan,2,Petrol,1.8,17,4,Manual,Rear,4-doors,Left wheel,Grey,2,453600
BMW,Jeep,1,Diesel,3,12,6,Automatic,4x4,4-doors,Left wheel,Black,0,1181223
HYUNDAI,Universal,1,Diesel,2.5,6,4,Automatic,Front,4-doors,Left wheel,White,4,2982987
TOYOTA,Sedan,1,Hybrid,3.5,9,6,Automatic,4x4,4-doors,Left wheel,Grey,12,1752759
TOYOTA,Sedan,2,Hybrid,1.6,19,1,Automatic,4x4,4-doors,Left wheel,White,5,729
NISSAN,Minivan,2,CNG,3.5,13,6,Tiptronic,4x4,4-doors,Right-hand drive,Golden,4,1143153
SSANGYONG,Jeep,1,Diesel,1.6,16,4,Automatic,Front,4-doors,Left wheel,White,4,3267540
HONDA,Hatchback,2,Petrol,1.5,27,4,Tiptronic,Front,4-doors,Left wheel,Grey,12,889056
MERCEDES-BENZ,Sedan,1,Petrol,3,22,6,Tiptronic,4x4,4-doors,Left wheel,White,12,2032209
TOYOTA,Jeep,1,Petrol,2.7,11,4,Automatic,4x4,4-doors,Left wheel,White,10,24300
HYUNDAI,Jeep,1,Diesel,2,21,4,Automatic,Front,4-doors,Left wheel,Grey,4,1513728
LEXUS,Jeep,1,Petrol,4.6,17,8,Automatic,4x4,4-doors,Left wheel,Silver,0,5664735
HYUNDAI,Sedan,1,Petrol,1.6,12,4,Automatic,Front,4-doors,Left wheel,Silver,4,2335230
LEXUS,Jeep,1,CNG,4.7,6,8,Automatic,4x4,4-doors,Left wheel,Black,0,3429297
FORD,Microbus,2,Diesel,2.2,9,4,Manual,Front,4-doors,Left wheel,White,2,1930554
MERCEDES-BENZ,Sedan,1,Diesel,3.5,19,6,Automatic,4x4,4-doors,Left wheel,Silver,12,1346301
MERCEDES-BENZ,Sedan,1,Petrol,2,13,4,Automatic,Rear,4-doors,Left wheel,Black,12,25434
FORD,Hatchback,2,Hybrid,2,16,4,Automatic,Front,4-doors,Left wheel,Grey,4,1296000
HYUNDAI,Sedan,1,Petrol,1.6,27,4,Automatic,Front,4-doors,Left wheel,White,4,965277
BMW,Sedan,1,Petrol,3,22,6,Tiptronic,4x4,4-doors,Left wheel,Black,12,1092285
LEXUS,Jeep,1,Petrol,4.7,11,8,Automatic,4x4,4-doors,Left wheel,White,0,69822
TOYOTA,Sedan,2,Petrol,2.5,21,4,Automatic,Front,4-doors,Left wheel,Silver,0,1295514
MERCEDES-BENZ,Sedan,1,CNG,2.4,17,4,Automatic,Rear,4-doors,Right-hand drive,Black,2,419175
FORD,Sedan,1,CNG,3.7,12,6,Automatic,4x4,4-doors,Left wheel,Grey,8,1244727
HYUNDAI,Hatchback,2,Petrol,1.6,6,4,Manual,Front,2-doors,Left wheel,Carnelian red,6,1295514
CHEVROLET,Jeep,1,Diesel,2,9,4,Automatic,Front,4-doors,Left wheel,Silver,4,965277
TOYOTA,Sedan,1,Hybrid,2.5,19,4,Automatic,Front,4-doors,Left wheel,White,12,1524177
CHEVROLET,Jeep,1,Petrol,2.4,13,4,Automatic,Front,4-doors,Left wheel,Black,12,127008
